tweet_id,tweet_text,class_label
1.221949644554588e+18,وأي خيانة أكبر من خيانة الدين الوطن الهوية العقيدة التاريخ عليسة المرأة والتي لا تمتلك مما فات شيئا قالت النار ولا العار يا أمة المليار صفقة_القرن القدس_عاصمة_فلسطين_الأبدية,No
1.222030473385345e+18,صباح الخير على فلسطين وقدسها وشعبها ومهجرينها في المخيمات وأسراها ومبعديها صباح الخير لكل من يحمل في قلبه حبها وانتمائها القدس_عاصمة_فلسطين_الأبديه تسقط_صفقة_الوهم,No
1.2220359291053384e+18,ذنبگ أنگ جميله گ يوسف وخانگ العالم گ أاخواته صباحكم فلسطيني صباح الوطن الجميل صفقة_القرن_لن_تمر,No
1.2220481211459625e+18,لا يلزمك ان تكون فلسطينيا لتحب فلسطين حبها لا يعرف جنسية أو هوية حبها يكون بالفطرة شيء يشبه حبنا لأمهاتنا بلا تفكير صباح_الخير القدس_عاصمة_فلسطين_الأبدية,No
1.222053294266372e+18,مناصرون رحل البروفسور زيك فريد فوغل رئيس قسم جراحة الأعصاب في مستشفى مايو كلينك برلين من أفضل جراحين الأعصاب على مستوى العالم عمل عمليه سرطان دماغ في فلسطين والاف عمليات العمود الفقري وهو يلفظ انفاسه قال قولوا للفلسطينيين سوف تنتصرون صفقة_القرن_لن_تمر,No
1.2220607642169385e+18,صفقة_القرن يستخدمها ترمب لحماية نفسه من العزل والبقاء في الحكم ويستغلها نتنياهو للهروب من شبح السجن رغم علمه بصعوبة تنفيذها والعرب كالعادة في سبات عميق صفقة_القرن_لن_تمر,No
1.2220843572440143e+18,لن نتخلى عن فلسطين ولا عن شعب فلسطين ولا عن مقدسات الأمة في فلسطين صفقة_القرن_لن_تمر فلسطين_عربية حزب_الله,No
1.2220997687358707e+18,يعملوا صفقات قرن ولا مايعملوا القدس لنا وحسبي الله ونعم الوكيل فيهم حكام العرب القدس_عاصمة_فلسطين_الأبدية,No
1.2221022651017994e+18,يـا قدس ورد الشـوق بـاح وشدنـي وطـمعت فـي نـيل الغرام فصدنـي القدس_عاصمة_فلسطين_الأبدية القدس المسجد_الأقصى,No
1.222103938033488e+18,خطة ترمب للتسوية المعروفة بـ صفقة_القرن ليست سوى نتيجة لسلسلة من التنازلات عن حقوق الفلسطينيين والأمة قدمتها القيادات الفلسطينية والأنظمة العربية الشعوب ما زالت مغيبة ولن يطول الزمن حتى تقول كلمتها فترمي كل الصفقات و المبادرات في سلة مهملات التاريخ صفقة_القرن_لن_تمر,No
1.222107505121276e+18,معيب ان تتنصل الانطمة العربية من مسؤولية الدفاع عن فلسطين امام سمسار يرى فلسطين كعقار يمكن تسليعه صمت الأنظمة العربية هو نتيجة طليعية لبؤسها وانفصالها عن الواقع صفقة_القرن صفقة_القرن_لن_تمر,No
1.2221138326440223e+18,الغضب الساطع آت وأنا كلي إيمان صفقة_القرن_لن_تمر,No
